route_id,route_name,date_range,time_set,covered_length_m,sample_size_avg,avg_travel_time,median_travel_time,harmonic_avg_speed_kph,p15_speed_kph,p85_speed_kph,avg_travel_time_ratio,planning_time_index,total_length_m,avg_travel_time_min,median_travel_time_min
1,Main Street Corridor,selected_month,AM Peak,3982.2,2450.02,00:10:37,00:07:20,22.49,16.13,44.87,1.0,2.41,3982.2,10.616666666666667,7.333333333333333
1,Main Street Corridor,selected_month,Midday,3982.2,3131.72,00:13:05,00:08:55,18.27,12.57,38.71,1.23,3.01,3982.2,13.083333333333334,8.916666666666666
1,Main Street Corridor,selected_month,PM Peak,3982.2,5934.22,00:13:36,00:09:13,17.56,11.44,38.81,1.28,3.26,3982.2,13.6,9.216666666666667
1,Main Street Corridor,selected_month,Weekend Noon,3982.2,1367.19,00:12:18,00:08:39,19.44,13.46,39.75,1.16,2.79,3982.2,12.3,8.65
2,Park Avenue Corridor,selected_month,AM Peak,4752.46,7948.87,00:10:36,00:06:53,26.91,18.02,55.61,1.0,2.75,4752.46,10.6,6.883333333333334
2,Park Avenue Corridor,selected_month,Midday,4752.46,7292.28,00:11:57,00:07:36,23.86,15.91,51.91,1.13,3.1,4752.46,11.95,7.6
2,Park Avenue Corridor,selected_month,PM Peak,4752.46,11892.83,00:11:42,00:07:20,24.36,16.18,53.18,1.1,3.1,4752.46,11.7,7.333333333333333
2,Park Avenue Corridor,selected_month,Weekend Noon,4752.46,3168.78,00:11:34,00:07:19,24.65,16.57,53.48,1.09,2.99,4752.46,11.566666666666666,7.316666666666666
3,Chandler Street Corridor,selected_month,AM Peak,4736.12,5466.17,00:08:42,00:06:19,32.64,24.05,55.44,1.0,2.22,4736.12,8.7,6.316666666666666
3,Chandler Street Corridor,selected_month,Midday,4736.12,4952.67,00:09:57,00:06:56,28.56,20.04,52.24,1.14,2.61,4736.12,9.95,6.933333333333334
3,Chandler Street Corridor,selected_month,PM Peak,4736.12,7832.43,00:10:04,00:06:58,28.23,19.7,52.31,1.16,2.71,4736.12,10.066666666666666,6.966666666666667
3,Chandler Street Corridor,selected_month,Weekend Noon,4736.12,2346.85,00:09:45,00:06:50,29.16,20.3,52.91,1.12,2.58,4736.12,9.75,6.833333333333333
4,Downtown to I-290 Connector,selected_month,AM Peak,1064.71,5310.59,00:03:40,00:02:01,17.45,9.95,46.22,1.0,2.87,1064.71,3.6666666666666665,2.0166666666666666
4,Downtown to I-290 Connector,selected_month,Midday,1064.71,4963.1,00:03:50,00:02:09,16.64,9.51,44.68,1.05,3.16,1064.71,3.8333333333333335,2.15
4,Downtown to I-290 Connector,selected_month,PM Peak,1064.71,8420.36,00:04:04,00:02:06,15.71,8.73,45.77,1.11,3.6,1064.71,4.066666666666666,2.1
4,Downtown to I-290 Connector,selected_month,Weekend Noon,1064.71,2061.74,00:03:29,00:01:58,18.37,10.75,47.51,0.95,2.72,1064.71,3.4833333333333334,1.9666666666666666
5,Downtown Cross-Town Route,selected_month,AM Peak,3723.01,7325.32,00:09:40,00:06:06,23.13,15.73,49.07,1.0,2.72,3723.01,9.666666666666666,6.1
5,Downtown Cross-Town Route,selected_month,Midday,3723.01,5816.97,00:09:45,00:06:27,22.9,15.39,46.93,1.01,2.65,3723.01,9.75,6.45
5,Downtown Cross-Town Route,selected_month,PM Peak,3723.01,10868.41,00:09:56,00:06:30,22.47,14.66,46.99,1.03,2.78,3723.01,9.933333333333334,6.5
5,Downtown Cross-Town Route,selected_month,Weekend Noon,3723.01,2934.51,00:09:00,00:06:04,24.83,16.8,48.74,0.93,2.37,3723.01,9.0,6.066666666666666
